"Шифр","Mobile - iOS","Mobile - Android","ML","Frontend","Backend - Python","Backend - NodeJS","Backend - Kotlin","Backend - Java","Backend - Golang","Backend - Custom","Backend - .NET"
qv~vxzw,,,0,0,0,,,,,,
-8Cdspq,,,0,0,0,,,,,,
tnhdkkC,,,0,,0,,,,,,
k~kSP4H,,,0,98,0,,,,,,
nvHQJ7M,,,0,,0,,,,,,
5bv-smC,,,0,,0,,,,,,
qWkWq5p,,,0,0,92.99,,,,,,
5j2gXww,,,0,,0,,,,,,
7p4QRTr,,,0,0,0,,,,,,
NJkFHr7,,,0,0,0,,,,,,
4RXQXgH,,,0,,0,,,,,,
V1K9fVw,,,0,78,,,,,,,
m3sz87Q,,,0,,0,,,,,,
PVGr2Ml,,,0,0,,,,,91.85,,
5K8BL~R,,,0,0,0,,,,,,
XKhT86M,,,0,,0,,,,,,
yengemd,,,0,0,0,,,,,,
xjpnisr,,,0,0,,90.78,,,,,
mGCfcXr,,,,98,,,,,,,
xbtivuy,,,,94,,,,,,,
kcqwlot,,,,93,,,,,,,
jxdkxqv,,,,92,,,,,,,
ckdqija,,,,91,,,,,,,
G~pHWqn,,,,91,0,,,0,,,
lTbZXbG,,,,9,0,,,,,,
zszSHRv,,,,87,,,,,,,
lVlTJRx,,,,85,,,,,0,,
P23lhzj,,,,83,,,,,,,
rghdpjo,,,,81,89.5,,,,,,
b-K7dws,,,,80,,,,,,,
eccljfv,,,,80,,,,,,,0
autbhrr,,,,77,,,,,,,
orpmhyl,,,,77,,,,,,,
v24dwSl,,,,76,0,,,,,,
XmD81cK,,,,74,,,,,,,
BzqtpXq,,,,72,,,,,,,
3scf24b,,,,72,,,,,,,
FGGx_1n,,,,70,,0,,,,,
92qbHcP,,,,7,,,,,,,
6DdHKV9,,,,68,,,,,,,
SbF5VBt,,,,64,83.23,,,,,,
b5bq_GK,,,,61,96.9,,0,,,,
3PSL-Kn,,,,60,,,,,,,
fxp0~_X,,,,6,0,,,,,,
27f7wL1,,,,6,0,,,,,,
0z1n16D,,,,59,,,,,,,0
b7_B_Lz,,,,57,,,,,,,
yhyqqht,,,,56,,,,,,,
6VvQkDj,,,,55,,,,,,,
t-HzH5K,,,,55,,,,92.69,,,
wWmPpHt,,,,54,,,,,,,
BKKh1zG,,,,54,,,,,,,
r7WQfGM,,,,54,0,,,,,,
KSk2xCD,,,,53,,,,,,,
dqBdvCt,,,,53,,,,,,,
RTG7b1W,,,,53,,,,,,,
qPsj~nQ,,,,52,0,,,,,,
ZDmM3Jx,,,,52,,,,,,,
CrBc74Z,,,,49,,,,,,,
_ZWw7db,,,,49,,,,,,,
rulbrhj,,,,49,,,,,,,
0WtDl~w,,,,47,0,,,,,,
0gKN6pk,,,,46,,,,,,,
knBC7TN,,,,45,,,,,,,
Dlvn14f,,,,45,,,,,,,
bGtFhW7,,,,45,,,,,,,
SXP1DTx,,,,44,,,,,,,
gmrZrDs,,,,44,0,,,,,,
k4~vTD9,,,,44,0,,,,,,
vj4tWdt,,,,44,94.0,,,,,0,0
DpV~Zs5,,,,42,,,,,,,
dbrzR~X,,,,40,87.57,,,,,,
GWHn8L6,,,,35,,,,,,,
rm-mHpf,,,,33,0,0,,,,,
DW0xDt0,,,,31,,,,,0,,
Jm_Vbmc,,,,3,0,,,,,,
2fkWLCn,,,,28,0,,,,,,
0sr1FRZ,,,,27,,,,,0,,
m1Lfb2w,,,,27,,,,,,,
X8_cg_g,,,,27,,0,,,,,
Dv~GtJT,,,,27,0,,,,,,
THg4p6v,,,,26,0,,,,,,
RR_jxBH,,,,24,,,,,,,
CPb2Rd9,,,,24,,,,,,,
d3QPSnc,,,,23,,,,,,,
t_sMW6q,,,,23,,,,,,,
FbsfQSQ,,,,22,,,,,,,
RJ1kSpX,,,,22,38.97,,,,,,
x4TGfj5,,,,21,,,,,,,
msKSm6N,,,,20,0,,,,,,
2T_hJ4v,,,,2,0,,,,,,
j9nnghP,,,,2,0,,,,,,
Th2J4Cx,,,,2,0,75.84,,,,,
JZDGtRk,,,,2,,,,,,,
PTvLwqQ,,,,2,0,,,,,,
W1pR9lB,,,,19,,,,,,,
rjZ43MF,,,,15,0,,,,,,
dmtVVS4,,,,15,0,0,,,,,
w6z5xZr,,,,13,,,,,92.09,,
h3-WMR4,,,,13,,,,90.29,,,
Kxvq24G,,,,13,,,,,,,
RtsjNkL,,,,13,,,,,,,
6nTDhvv,,,,13,84.64,,,,,,
Pp7Cd3X,,,,12,,,,,,,
rD-xhj6,,,,12,,0,,,,,
Vqqzprz,,,,11,,,,,,,
M~5kz94,,,,10,,,,,,,
RbbM~R4,,,,1,,,,,,,
Lz9tmQ9,,,,0,,,,,,,
H_3LkKR,,,,0,,0,,,0,,
kd3p749,,,,0,0,,,,,,
R278J9D,,,,0,,,,,,,
f2hWkpH,,,,0,,,,,,0,
jL0gwRg,,,,0,,,,,,,
_Qw65LQ,,,,0,0,,,,,0,
ZF9nbzJ,,,,0,0,,,,,,
FFkNC~F,,,,0,0,,,,,,
TMkdLtG,,,,0,,,,,,,
p4NwXrN,,,,0,,,,,,,
dT5P78q,,,,0,,,,,,,
HSBQ~kd,,,,0,0,,,,,,
kwMHTBC,,,,0,,,,,,,
qtGqKRg,,,,0,0,,,,,,
ejapybg,,,,0,,0,,,0,0.12,
C9qDCh4,,,,0,,,,,,,
xDvtcHP,,,,0,0,,,,,,
dXRj85L,,,,0,0,,,,,,
WL0dQKp,,,,0,0,0,0,,,,
rc2j354,,,,0,0,,,,,,
fgP~fxM,,,,0,,,,,85.08,0,
RDGWH0H,,,,0,,,,,,,33.94
NgqJLZB,,,,0,77.98,,,,,,
6qfkk7m,,,,0,0,,,,0,0,
W21g66K,,,,0,0,,,,,,
pG0t4dS,,,,0,0,,,,,,
83C_sLs,,,,0,0,88.8,,,,,
WmvqpCt,,,,0,,,,,,,
05Zl5Jl,,,,0,96.58,,,,,,
w33x8rR,,,,0,0,,,,,,
nC328ZH,,,,0,0,,,,,,
xFvwPtx,,,,0,0,,,,,,
lKMSxq9,,,,0,41.02,,,,,,
DRl3gS1,,,,0,0,,,,,,
CS~23jr,,,,0,,,,,,,
jSHwQPK,,,,0,,0,,,,,
XkJPTm6,,,,0,0,,,,,,
KrQRCWg,,,,0,,,,,,,
Xdx1w8q,,,,0,,,,,,,
8d2bNSf,,,,0,0,,,,0,,
3SWp9B6,,,,0,,0,,,,,
QjWRZWW,,,,0,0,,,,,,
rXRMvRx,,,,0,0,,,,,,
PZ282_Z,,,,0,0,,,,,,
MTkBsZs,,,,0,0,,0,0,,,
g_K_nZw,,,,0,0,,,,,,
Lnn18WX,,,,0,,,,,,,
jgXShjW,,,,0,,,,,,,
drzjbwc,,,,0,,,,,,,
rMZ7b0d,,,,0,0,,,,,,
TMH7pk7,,,,0,0,,,,,,
TQ7gVb4,,,,0,,,,,,,
Ds79Wvv,,,,0,,96.8,,,0,,
r3Nx6CP,,,,0,0,,,,,,
zSx4jvj,,,,0,,,,,80.07,,
7gWL0DQ,,,,0,0,,,,,,
MHVJ4c7,,,,0,0,,,,,,
Q8ZW8-G,,,,0,0,,,,,,
0RXflfv,,,,0,,,,0,,,
5n-77rd,,,,0,0,,,,,,
~dNR2HX,,,,0,,,,,,,
v-x8n6N,,,,0,0,,,,,,
6KW7cP5,,,,0,0,,,,,,
q_489BX,,,,0,,,,,,,
-nj1bDP,,,,0,6.51,,,,,,
4tSCFG8,,,,0,0,,,,,,
pgrNj4X,,,,0,0,0,,,,,
4GFsLrK,,,,0,0,,,,,,
gWNRlvV,,,,0,78.4,,,,,,
9vJxqfN,,,,0,0,,,,,,
lXC-MLd,,,,0,0,,,,,,
mdX3hkb,,,,0,,,,,,,
8mP3VVM,,,,0,89.58,0,,,,,
zpzw8bS,,,,0,,0,,0,,,
tH25J6c,,,,0,0,,,,,,
GkhbCH1,,,,0,,,,,,,
cfr-L0J,,,,0,,,,,,,
rBmdr6l,,,,0,0.21,,,,,,
d-~1Zp2,,,,0,,,,,64.96,,
ZXNfZMf,,,,0,,,,,,,
Sj5Dp_M,,,,0,,,,,,,
rvmt6L7,,,,0,0,,,,,,
7J8Qb23,,,,0,0,,,,,,
1dQP4~t,,,,0,0,,,,,,
Cbr-Gdk,,,,0,0,,,,,,
DKdW3fs,,,,0,0,,,,,,
lMkLSwR,,,,0,0,,,0,0.19,,
8rf5~1b,,,,0,0,,,,,,
hZ4_J33,,,,0,,,,,,,
9zbpSM2,,,,0,0,,,,,,
v-L7mVQ,,,,0,79.2,,,,,,
XsqqjxB,,,,0,94.3,,,,,,
F45z2NH,,,,0,,,,,,,
~13-FXt,,,,0,0,,,,,,
l~jwGWz,,,,0,0,,,,,,
GRvlvRp,,,,0,,,,,,,
dbB52Z7,,,,0,,,,,,,
dfjr78n,,,,0,54.31,,,,,,
FC9Lx7s,,,,0,0,,,,,,
mtSlqZk,,,,0,0,,,,,,
943Bqkp,,,,0,0,,,,,,
Nv3--w1,,,,0,0,,,,,,
PNdtVCQ,,,,0,91.15,,,,,,
NnsZthq,,,,0,4.08,,,,,,
mlx87B5,,,,0,,,,,,,
zcXjJbL,,,,0,,,,,,,
Zc8hnSW,,,,0,0,,,,,,
7ZDQrFd,,,,0,0,,,,,,
m0x~Bmc,,,,0,,,,,,,
LN3wHxt,,,,0,0,,,,,,
dFS25HR,,,,0,,0,,,,,
C878z3r,,,,0,18.91,,,,,,
9p6Ms-6,,,,0,0,,,,,,
ks3s8rj,,,,0,,,,,,,
lb~2sbB,,,,0,66.72,,0,,,,
9WHVBkB,,,,0,0,,,,,,
mRK~wg6,,,,0,,,,,,0.12,
p049wlV,,,,0,0,,,,0,0,
CWX00b1,,,,0,,,,,,,
R~jdc_3,,,,0,0,,,,,,
Q6mT888,,,,0,0,,,,,,
jXWhm0x,,,,0,,,,,86.77,,
0kF3MpC,,,,0,0,,,,,,
R8kXDJG,,,,0,0,,,,,,
nTc1GHk,,,,0,,,,,,,
LCwDZGw,,,,0,,,,,,,
VqT2zLF,,,,0,0,,,,,,
x4NN0GC,,,,0,0,,,,,,
-t4Lvkb,,,,0,0,,,,,,
P6W8LbV,,,,0,,,,,,,
5L8Z_fd,,,,0,0,,,,,,
lfJ_9Wl,,,,0,,,,,,,
f9-_s6v,,,,0,63.35,,,,,,
K1KRrd8,,,,0,,,,,,,
MwGdFC3,,,,0,,,,0,,,
h8cvgBv,,,,0,,,,,0,,
DgQC-~2,,,,0,0,,,,,,
ltqhJF7,,,,0,0,,,,,,
sdl8H_k,,,,0,,,,,,,
N1DmM6V,,,,0,,,,,,,
Hd-~z~m,,,,0,,,,,,,
X6r4hfg,,,,0,0,,,,,,
w8znRh6,,,,0,,0,,,,,88.76
QZTdck3,,,,0,,,,,,,
9Mc-rkV,,,,0,,,,,,,
1v_dzD2,,,,0,0,,,,,,
fQddZPq,,,,0,,,,,,,
PZ7cN00,,,,0,0,,,,,,
37w2Zfj,,,,0,,,,,,,
b3_9ZXb,,,,0,0,,,,,,
j68hHSV,,,,0,0,,,,,,
w36xpS3,,,,0,,,,,,,
-fXq_Ck,,,,0,0,,,,,,
mhnpR8w,,,,0,,0,,,,,
c2WWgqp,,,,0,1.44,,,,,,
jNDMMt3,,,,0,,0,,,,,
dv583Mb,,,,0,0,,,,0,0,
Dq40s-m,,,,0,0,,,,,,
DXh-kQj,,,,0,0,,,,,,
KxH7Hlm,,,,0,,,,,,,
Qpj4TJK,,,,0,,0,,,,,
v7zBLXX,,,,0,,,,,,,
8k93SZ3,,,,0,0,,,,,,
Gc6K6Hz,,,,0,61.75,,,,,,
Rnsq17M,,,,0,0,,,,,,
gpgW-QJ,,,,0,,0,,,,,
blB3CWs,,,,0,0,,,,,,
MbL8QmD,,,,0,1.44,,,,,,
WT0SBB7,,,,0,84.09,,,,,,
gSVWnnN,,,,0,0,,,,,,
SkQgXwS,,,,0,0,0,0,0,0,87.55,0
PXPb_mS,,,,0,0,,,,,,
5hQRTpx,,,,0,0,,,,,,
4WG4dBc,,,,0,0,,,,,,
rxCtxQP,,,,0,0,,,,,,
pz2~~zP,,,,0,0,,,,,,
9HxlggH,,,,0,,,,,,,
~~-N_Cg,,,,0,,,,,,,
ZbVLpPW,,,,0,,,,,,,0
tSq04tH,,,,0,73.01,0,,,,,
rN1rDvc,,,,0,,,,,,,
0HKcNwp,,,,0,,,,,,,
00zDc1R,,,,0,,94.8,,,,,
nwV_K2K,,,,0,,0,,,,,
0~BKzkd,,,,0,0,,,,,,
PPQ4KhV,,,,0,,,,,,,
Wf9K08L,,,,0,76.9,,,,,,
GLCZTjk,,,,0,0,,,,,,
Hgbg5rz,,,,0,48.84,,,,,,
P46553Q,,,,0,0,,,,0,0,
sNlfD05,,,,0,,,,,,,
B7CGbv2,,,,0,,,,,,,
ouirpvt,,,,0,,,95.06,,,,
tguwvaq,,,,0,67.03,,,,,,
l8_Cgkl,,,,,98.83,,,,,,
CbrSkFx,,,,,98.07,,,,,,
2DVrl2v,,,,,97.57,,,,,,
WNl0Qb4,,,,,97.26,0,,,,,
7hB4Sw2,,,,,97.1,,,,,,
tj35fvZ,,,,,96.25,,,,,,
Pm5sH31,,,,,96.1,,,,,,
Vkvnp8s,,,,,96.09,,,,,,
CXH55Wl,,,,,96.0,,,,,,
vatugon,,,,,96.0,0,,,,,
N7T3J~p,,,,,95.8,,,,,,
zZ~p6MW,,,,,95.55,,,,,,
Fb9KPxJ,,,,,95.24,,,,,,
9Pg~md0,,,,,94.94,,,,,,
ubwnnml,,,,,94.79,,,,,,
nvFKpbc,,,,,93.84,,,,,,
gcpwJfM,,,,,93.48,,,,,,
Rtkb6rr,,,,,93.15,,,,,,
TqzKbRG,,,,,93.06,,,,,,
3H0JqNz,,,,,92.68,,,,,,
T9-0_xr,,,,,92.56,,,,,,
GFP78pC,,,,,92.47,,,,,,
sQNFqr5,,,,,92.32,,,,,,
h1Z0VLl,,,,,92.28,,,,,,
3wdkLQ9,,,,,91.56,,,,,,
8jf50Tz,,,,,91.3,,,,,,
kMvC1xM,,,,,91.18,,,,,,
wruxapk,,,,,90.85,,,,,,
3w9KZgG,,,,,90.54,,,,,,
fkfvwhl,,,,,90.28,,,,,,
p2BBDR9,,,,,88.35,,,,,,
~hR9mXg,,,,,87.96,,,,,,
Ks9RSrt,,,,,87.95,,,,,,
-W3_z17,,,,,87.68,,,,,,
82RNBqL,,,,,87.67,,,,,,
ezsotiy,,,,,87.39,,,,,,
F3PrljT,,,,,86.65,,,,,,
P_1SLMG,,,,,86.4,,,,,0,
Mxwp1~g,,,,,86.1,,,,,,
FSk_k45,,,,,86.05,,,,,,
DMVmrH8,,,,,84.91,,,,0,,
x6vNpVd,,,,,84.91,,,,,,
WR3WM2x,,,,,84.1,,,,,,
QFtdZjk,,,,,84.08,,,,,,
NCjq2d5,,,,,83.7,,,,,,
SbPC7B1,,,,,83.45,,,,,,
vheovzl,,,,,82.79,,,,,,
RhPH~n3,,,,,82.72,,,,,,
fwgjnHQ,,,,,82.71,,,,,,
pDvTpCT,,,,,82.53,,,,,,
4s~bJtl,,,,,82.22,,,,,,
14RjXCg,,,,,82.14,,,,,,
DX8~cCC,,,,,82.06,,,,,,
bCt8Q5V,,,,,82.04,,,,,,
GM0lZrw,,,,,81.1,,,,,,
RXg6TXH,,,,,81.04,,,,,,
3Wb5DMZ,,,,,80.3,,,,,,
dk3-LgM,,,,,79.26,,,,,,
tTL_WMg,,,,,79.21,,,,,,
5nTf5~f,,,,,79.08,,,,,,
dVjLsVt,,,,,78.24,,,,,,
xW0q6wt,,,,,77.71,,,,,,
-CG048N,,,,,77.45,,,,,,
dVZ5Msv,,,,,76.97,,,,,,
chS4LZQ,,,,,75.53,,,,,,
XgkbtgD,,,,,75.35,,,,,,
cL7CqKm,,,,,75.33,,,,,,
yrjzqhv,,,,,75.07,,,0,,,
rr-3wPH,,,,,73.52,,,,,,
dDndbv9,,,,,73.36,,,,,0,
9LtBW0f,,,,,73.12,,,,,,
2dTpX6F,,,,,72.84,,,,,,
NFsF5Gr,,,,,72.73,,,,,,
BFnw4ZB,,,,,71.66,,,,,,
VlHFbNX,,,,,70.98,,,,,,
6xmRTZ4,,,,,70.54,,,,,,
C2sNjWn,,,,,70.14,,,,,,
bW9mfFb,,,,,69.6,,,,,,
HGXcK9p,,,,,69.24,,,,,,
1jH_PHv,,,,,69.16,,,,,,
MQvc-v7,,,,,68.98,,,,,,
Nl96d4L,,,,,68.86,,,,,,
lvJN~04,,,,,67.54,,,,,,
8ztm46G,,,,,66.73,,,,,,
mvrvs7b,,,,,66.4,,,,,,
2tlDqJ3,,,,,66.13,,,,,,
7zfv8l1,,,,,65.35,,,,,,
2~-WgWJ,,,,,64.58,,0,,,,
slfhdri,,,,,64.43,,,,,,
v9xLQ4Z,,,,,64.09,,,,,,
tglvccv,,,,,63.76,,,,,,
zCr392r,,,,,63.73,,,,,,
WtqsK3L,,,,,62.17,,,,,,
3l2vL5W,,,,,60.98,,,,47.77,,
w~kw1Z2,,,,,59.97,,,,,,0
stxphvQ,,,,,57.64,,,,,,
j11P7b7,,,,,57.32,,,,,,
qWZVQq3,,,,,55.98,,,,,,
gxnKRQn,,,,,55.56,,,,,,
7Z7n8QH,,,,,54.76,,,,,,0
M~3BBXd,,,,,54.35,,,,,,
5lqNPR4,,,,,53.53,,,0,,0,
XskkMvD,,,,,52.6,,,,,,
zW9j2vG,,,,,51.16,,,,,,
XXJbQlR,,,,,48.37,,,,,,
V4nprGs,,,,,47.99,,,,,,
9-1728b,,,,,47.82,,,,,,
4JMSS_5,,,,,45.01,,,,,,
x3PjzN1,,,,,40.41,,,,,,
P_Shl0f,,,,,35.71,,,,,,
kWFZB5c,,,,,30.9,,,,,,
Q4Sd7JR,,,,,28.13,,,,,,
TfBFGj9,,,,,19.91,,,,,,
hVCQW_1,,,,,17.69,,,,,,
CNggcTV,,,,,16.21,,,,,,
D7hDqp8,,,,,14.31,,,,,,
HBTq8md,,,,,8.21,,,,,,
zTNBbxf,,,,,7.81,,,,,,
LhBKwVk,,,,,7.71,,,,,,
1hhLrKJ,,,,,5.21,,,,,,
GGB146L,,,,,4.08,,,,,,
3tHSK~X,,,,,3.21,,,,,0,
nD9W-NH,,,,,1.29,,,,,,
h9mt07p,,,,,1.21,,,,,,
XQDGBkh,,,,,1.21,,,,,,
FR9xGRV,,,,,0.21,,,,,,
vqvkk~7,,,,,0.21,,,,,,
ncltici,,,,,0,,,,,,
nvGllsr,,,,,0,,,,,,
g02xP8d,,,,,0,,,,,,
5R5x3GS,,,,,0,,,,,,
L09N9vv,,,,,0,,,,,,
4PW5z5h,,,,,0,,,,,,
jq-gS7t,,,,,0,,,,,0,
LTCCq_j,,,,,0,,,,,,
1wgFZv3,,,,,0,,,,,,
H6bn9RZ,,,,,0,,,,,,
1cHkH~C,,,,,0,,,,,,
bnJDdNj,,,,,0,,,,,88.0,
TB-nh5p,,,,,0,,,,,,
Psg3tQS,,,,,0,,,,,,
05fsQsh,,,,,0,,,,,,
SK-zXBh,,,,,0,,,,,,
5k5b2q0,,,,,0,,,,,,
Vq_LHWD,,,,,0,,,,,,
-PZ3g7C,,,,,0,,,,,,
S8qTMwK,,,,,0,,,,,,
W8jPSVH,,,,,0,,,0,,,
PQ4bP2v,,,,,0,,,,,,
1LC6820,,,,,0,,,,,,
xszkmHc,,,,,0,,,,,,
mpFNqWP,,,,,0,,,,,,
GqBhQ9S,,,,,0,,,,,,
0t8WlJ3,,,,,0,,,,,,
rsbM0KG,,,,,0,,,,,,
gMSTXXL,,,,,0,,,,,,
r3tD8Pv,,,,,0,,,,,,
vvX_FGF,,,,,0,,,,,,
V853Mh3,,,,,0,,,,,,
qVP8vSZ,,,,,0,,,,,,
P74nV3f,,,,,0,,,,,,
bLnGtp0,,,,,0,,,,,,
hnWHdgJ,,,,,0,,,,,,
7WqdF06,,,,,0,,,,,,
L7Tc8Rb,,,,,0,,,,,,
jCzM6mf,,,,,0,,,,,,
s9FQRj7,,,,,0,,,,,,
6F-0~xn,,,,,0,,,,,,
nPDnWwG,,,,,0,,,,,,
094WV_f,,,,,0,,,,,,
F_r8rnX,,,,,0,,,,,,
phM0w-Q,,,,,0,,,,,0,
n0Df6Tz,,,,,0,,,,,,
fs80KTv,,,,,0,,,0,,,
FB~VLLl,,,,,0,,,,,,
5XzLKt7,,,,,0,,,,,,
KWZpFFX,,,,,0,,,,,,
lfzkjpf,,,,,0,,,,,,
qwstjjr,,,,,0,,,76.77,,,
abogcov,,,,,0,,,,,,
S8GMKMp,,,,,0,,,,,,
1fv9t~J,,,,,0,,,,,,
jK3tLsJ,,,,,0,,,,,,
6XlK15H,,,,,0,,,,,,
nPrpnlJ,,,,,0,,,,,,
-fHPRgc,,,,,0,,,,,,
h0Nwmjn,,,,,0,,,,,0,
61qhD4r,,,,,0,,,,,,
-JL-BQ3,,,,,0,,,,,,
c7L8Jc0,,,,,0,,,,,,
GpzLN5K,,,,,0,,,,,,
tWVG1kS,,,,,0,,,,,,
ZMLm4Jf,,,,,0,,,,,,
7Q5RBtB,,,,,0,,,,,,
ztz~Grc,,,,,0,,,,,,
Llrm4bz,,,,,0,,,,,,
GwZ0PtM,,,,,0,,,,,,
fbBP-2c,,,,,0,,,,,,
3mH8T_G,,,,,0,,,,,,
VLX3B94,,,,,0,,,,,,
KJlv8jQ,,,,,0,,,,,,
dJVTlVB,,,,,0,,,0,,,
4NZMQlR,,,,,0,,,,,,
1DXR5kz,,,,,0,,,,,,
GJbsQdf,,,,,0,,,,,,
0sxbbbt,,,,,0,,,,,,
fgWgjVl,,,,,0,,,,,,
Ccq2vqk,,,,,0,,,,,,
RqK9vgX,,,,,0,,,,,,
2PpkC8Z,,,,,0,,,,,,
HGqC3-t,,,,,0,,,,,,
2K8lp1t,,,,,0,,,,,,
z8~RTzC,,,,,0,,,0,,,
BXWbPZZ,,,,,0,,,,,,
rjbmCcg,,,,,0,,,,,,
bk6MbW6,,,,,0,,,,,,
zz4hD8p,,,,,0,,,,,,
zvd0gnl,,,,,0,,,,,,
nkxDKQd,,,,,0,,,,,,
nN8wMDF,,,,,0,,,,,,
1Qnlwwj,,,,,0,,,,,,
0Jq8xmC,,,,,0,,,,,,
qsP6bcG,,,,,0,,,,,,
0xQrX0Q,,,,,0,,,,,,
D66rDzF,,,,,0,,,,,,
gPSk6JK,,,,,0,,,,,,
_lhtSlh,,,,,0,,,,,,
~R1NhHP,,,,,0,,,,,,
r2mG~6B,,,,,0,,,,,,
Lpb_DMB,,,,,0,,,,,,
_DlRFLJ,,,,,0,,,,,,
xwbng6x,,,,,0,,,,,,
B5tNPZ3,,,,,0,,,0,,,
64~8hPZ,,,,,0,,,,,,
J8HhTN3,,,,,0,,,,,,
b0sKVx7,,,,,0,,,,0,,
5p7n51k,,,,,0,,,,,,
Fb5vnWW,,,,,0,,,,,,
qzRSppF,,,,,0,,,,,,
7DN72_B,,,,,0,,,,,,
T0p9ppb,,,,,0,,,,,,
7~9WrJz,,,,,0,,,0,,90.55,
0S_ZX80,,,,,0,,,,,,
DnWWT6k,,,,,0,,,,,,
k9N9D1s,,,,,0,,,,,,
~dv0gnh,,,,,0,,,,,0,
Cr_4478,,,,,0,,,,,,
stfzmCk,,,,,0,,,,,,
qjcXSmm,,,,,0,,,,,,
-S1MnwD,,,,,0,,,,,,
n23NlNq,,,,,0,,,,74.32,,
bDpbG0S,,,,,0,,,,,,
r-5TzP6,,,,,0,,,0,,,
3KPv6DJ,,,,,0,,,,,,
80FX9ns,,,,,0,,,0,,,
ZKWh8lD,,,,,0,,,,,,
f-0W5zm,,,,,0,,,,,,
4_bZdzk,,,,,0,,,,,,
sv5PJmh,,,,,0,,,,29.79,,
dHfW-Sj,,,,,0,,,,,,
XsdRt~R,,,,,0,,,,,,
gLBJ4cD,,,,,0,,,,,,
Hnmlrzm,,,,,0,,,,,,
s~NF0~z,,,,,0,,,,,,
XdlrQjt,,,,,0,,,,,,
0Np-NTx,,,,,0,,,,,,
ckXw9~W,,,,,0,,,,,,
pLKdpDf,,,,,0,,,,,0,
~8Bz3wq,,,,,0,,,,,,
vT6DVLm,,,,,0,,,,,,
VQ7sgbS,,,,,0,,,,,,
-77Lqbh,,,,,0,,,,,,
7GhkNpR,,,,,0,,,,,,
gjrDhkj,,,,,0,,,,,,
1XHs1Ng,,,,,0,,,,,,
DXT8384,,,,,0,0,,,,0,
_dnj_K6,,,,,0,,,,,,
KSVf0-G,,,,,0,,,,,,
r5PGrS2,,,,,0,,,,,,
VJH~8nz,,,,,0,,,,,0,
g80SKML,,,,,0,,,,,,
W9SJ1c1,,,,,0,,,,,,
GsL8X6X,,,,,0,,,,,,
M_gs0vW,,,,,0,,,,,,
n9Hnx1b,,,,,0,,,,,,
prBLcnk,,,,,0,,,,,,
lJcZRNF,,,,,0,89.77,,,,,
lRJ52M7,,,,,0,,,,,,
3XJw6hd,,,,,0,,,,,,
jGkbq9g,,,,,0,,,,,,
kSTJ5xf,,,,,0,,,,,,
cs8hXBx,,,,,0,,,,,,
Th42Xj2,,,,,0,,,,,,
zwZlnjV,,,,,0,,,,,,
F6JX8CN,,,,,0,,,,,,
tv6BrsN,,,,,0,,,,,,
Qt39_Jv,,,,,0,,,,,,
_7dqMc8,,,,,0,,,,,,
Kq9h6B0,,,,,0,,,,,,
M9T31vN,,,,,0,,,,,,
22NqX-R,,,,,0,,,,,,
ks~_S0J,,,,,0,,,,0,,
hfmmvsr,,,,,0,,,,,,
R6FXRk1,,,,,0,,,,,,
S0f6_ZJ,,,,,0,,,,,,
sX24qkS,,,,,0,,,,,,
Wchw012,,,,,0,,,,,,
bdqkgsm,,,,,0,,,,,0,
H10shx1,,,,,0,,,,,,
c1fPqkR,,,,,0,,,,,,
Wz20R~v,,,,,0,,,,,,
n7MVg22,,,,,0,,,,,,
7bw~m2X,,,,,0,,,,,,
l5fZcQB,,,,,0,,,,,,
f-T5gmj,,,,,0,,,,75.05,,
hq-x7-8,,,,,0,,,,,,
0CR515t,,,,,0,,,,,,
WB_Hvz0,,,,,0,,,,,,
sGsLmwZ,,,,,0,,,,,,
bQ8mtD2,,,,,0,,,,,,
phVzcPd,,,,,0,,,,,,
f56SHvJ,,,,,0,,,,,,
rPf6KrP,,,,,0,,,,,,
pR7FLNg,,,,,0,,,,,,
-bp6W_8,,,,,0,,,89.05,,,
Z~SbdHj,,,,,0,,,,,,
jx_Ft~M,,,,,0,,,,,,
qsNKjSh,,,,,0,,,,,,
nrTlbBs,,,,,0,,,,,,
nzzqf7p,,,,,0,,,,,,
Q6TwhwM,,,,,0,,,,,,
sdXh_Hx,,,,,0,,,,,,
V6fnS08,,,,,0,,,,,,
FJmk8gH,,,,,0,,,,,,
JhS4fGl,,,,,0,,,,,,
tz_3jL7,,,,,0,,,,,,
M8hXJFL,,,,,0,,,74.26,,,
W5n9Rpt,,,,,0,,,,,,
FCRH~bJ,,,,,0,,,,,,
xX~pMFF,,,,,0,,,,,,
TzRCTkC,,,,,0,,,,,,
rT~_JnQ,,,,,0,,,,,,
2pTxcJL,,,,,0,,,,,,
tHZwm-m,,,,,0,,,,,,
4pfMb15,,,,,0,,,,0,,
c7GtTQd,,,,,0,,,,,,
WxNH8Gb,,,,,0,,,,,,
x~qQR-r,,,,,0,,,,,,
gHRGVgZ,,,,,0,,,,0,0,
j5GVTpH,,,,,0,,,,0,,
SnmvWxx,,,,,0,,,,,,
09sqjHC,,,,,,96.61,,,,,
~0trKbX,,,,,,96.6,,,,,
_xVVgmP,,,,,,96.5,,,,,
1Qn4WfP,,,,,,96.09,,,,,
rt_FgrB,,,,,,95.3,,,,,
zbp-sKQ,,,,,,94.29,,,,,
TXd4t0D,,,,,,93.73,,,0,,
BbTQH66,,,,,,92.11,,,,,
